,model_strength,tm_value_m,model_strength_eff,z_model,z_tm,rating,synergy_mult,spine,chemistry,n_core_euro
France,489173183.6057349,1558.0,489173183.6057349,1.4356663218477288,1.6612472399235212,123.39603740184123,0.9884,0.986,1.0025,15
England,594671256.618348,1333.0,594671256.618348,1.5877663289302446,1.5342913524275534,123.37532637780646,1.0057,1.0057,1.0,15
Spain,428799658.0248235,1286.0,428799658.0248235,1.333073143504738,1.5050735038796508,121.41510012566411,1.0239,1.0179,1.0058,15
Portugal,416450365.4849958,1038.0,416450365.4849958,1.310313669652449,1.330687544537967,119.82278951259227,0.9998,0.9998,1.0,15
Brazil,395026710.05973464,931.0,395026710.05973464,1.2691804525455104,1.2421341204874528,118.81457454870367,0.9743,0.9708,1.0036,15
Germany,343975264.29772013,1018.0,343975264.29772013,1.161402690069567,1.3148510217369365,118.68698908729931,1.0114,1.0011,1.0103,15
Argentina,290447338.4106765,835.0,290447338.4106765,1.0296650340146707,1.153551583947194,116.46703954716338,0.9741,0.9741,1.0,15
Netherlands,262714968.97627693,854.0,262714968.97627693,0.951507098563234,1.1718655125882236,116.09056339415467,0.9828,0.9814,1.0014,15
Norway,243183730.60253045,613.0,243183730.60253045,0.891340348184664,0.9019799964948818,113.45788232132927,0.9451,0.9451,1.0,15
Belgium,271025458.31724143,554.0,271025458.31724143,0.9757623635722468,0.8196058681440701,113.34814436630124,1.0336,1.0336,1.0,15
Ivory Coast,167686738.24777627,542.0,167686738.24777627,0.6018327487409466,0.8017809603132826,110.67706397658597,1.0672,1.0657,1.0014,15
Uruguay,190175350.38832662,414.0,190175350.38832662,0.6998480895807712,0.5824969898658736,109.52957477106366,0.9994,0.9994,1.0,15
Morocco,141446090.68544447,498.0,141446090.68544447,0.46929175931262807,0.7328653026879665,109.21385812253597,0.9378,0.9378,1.0,15
Turkiye,133204119.74834436,482.0,133204119.74834436,0.42253375286660194,0.7062842763861233,108.67894811203509,0.9957,0.9957,1.0,15
Senegal,130266513.77200557,483.0,130266513.77200557,0.40516559526427254,0.7079712647537731,108.57563070225247,1.0142,1.0142,1.0,15
United States,154502860.18082455,386.0,154502860.18082455,0.5380580139303996,0.52549569500691,107.9672310778372,1.0067,1.0067,1.0,15
Croatia,148594843.35123992,394.0,148594843.35123992,0.5076919490283344,0.5421931337650587,107.900014009503,0.9723,0.9723,1.0,15
Sweden,120570462.65912601,437.0,120570462.65912601,0.34492431231104115,0.6265061722560759,107.49691502921215,0.9714,0.9714,1.0,15
Switzerland,161190762.15527,340.0,161190762.15527,0.5710617799593022,0.4222094132269266,107.33789467384743,1.0369,1.0369,1.0,15
Colombia,143162025.46950975,311.0,143162025.46950975,0.4786832208946412,0.34964164329700215,106.11565529823909,0.9849,0.9849,1.0,15
Austria,137943529.20688555,277.0,137943529.20688555,0.44976308871226406,0.2554037513009105,105.14298179704029,1.0043,1.0043,1.0,15
Algeria,134063584.43325152,263.0,134063584.43325152,0.4275428272043071,0.21318835658574561,104.64471802546147,1.0001,1.0001,1.0,15
Ecuador,77347954.74089096,384.0,77347954.74089096,-0.0008154569148751152,0.5212672616223768,104.2949505742092,0.9866,0.9866,1.0,11
Japan,102850086.79319751,285.0,102850086.79319751,0.22111953420977937,0.27857888529448466,103.79083265959551,1.0562,1.0562,1.0,15
Ghana,126286386.53653044,236.0,126286386.53653044,0.3809982303765327,0.12501714046532522,103.60312946388053,0.9823,0.9823,1.0,15
Canada,148671914.46347186,207.0,148671914.46347186,0.5080957986834519,0.018294873022713966,103.5805793435507,0.9986,0.9976,1.0009,11
Czechia,141777235.80077904,194.0,141777235.80077904,0.47111298580211775,-0.03449984091815351,102.89538896658952,1.0174,1.012,1.0054,14
Scotland,148651142.42629674,180.0,148651142.42629674,0.5079869746222757,-0.09546737827646234,102.64130620791954,0.9891,0.9891,1.0,15
Congo DR,95751421.83012602,152.0,95751421.83012602,0.16541973702374968,-0.23309070849299543,99.1935848798431,1.0095,1.0095,1.0,14
Mexico,52389287.334594615,199.0,52389287.334594615,-0.3042582036758028,-0.013786977856327558,97.83251455787362,0.983,0.9778,1.0054,7
Bosnia-Herzegovina,65654404.21196191,152.0,65654404.21196191,-0.1284735711627206,-0.23309070849299543,97.20980504958442,1.0641,1.0626,1.0014,12
Egypt,72573038.01779212,137.0,72573038.01779212,-0.05044321905884778,-0.3176620276766538,97.03879654302038,0.9494,0.9377,1.0125,5
Paraguay,56772727.41537677,160.0,56772727.41537677,-0.24167589964481048,-0.1913394237947922,96.7901374310905,1.0131,1.0077,1.0054,7
South Korea,47872025.48289364,145.0,47872025.48289364,-0.374486224425526,-0.27146684697577494,95.23261649757755,0.9877,0.9833,1.0045,9
Australia,40171434.943883985,75.0,40171434.943883985,-0.5110742019576778,-0.8080740636936314,89.88363811131322,1.0854,1.0615,1.0225,5
Tunisia,42955031.51410972,71.0,42955031.51410972,-0.4588942340444073,-0.8526864114289796,89.86780102591116,0.9692,0.9668,1.0025,10
Haiti,34885884.36695658,57.0,34885884.36695658,-0.6209472181290743,-1.0314578609985698,87.29907892439054,0.9997,0.9873,1.0125,5
Uzbekistan,9633780.06215216,72.0,9633780.06215216,-1.6231548690376008,-0.8413020077263573,82.10296307025374,0.9608,0.9151,1.05,1
Cape Verde,10088557.765821042,57.0,10088557.765821042,-1.5872302485202177,-1.0314578609985698,80.77666846925032,0.9752,0.9288,1.05,2
Iran,0.0,33.0,16500000.0,-1.2040766629211246,-1.4763289139704192,79.69276898502645,1.0,1.0,1.0,0
Panama,14441744.695355516,36.0,14441744.695355516,-1.307846391584385,-1.405504124569517,79.57662782910688,0.9608,0.9151,1.05,2
South Africa,8992576.387079366,47.0,8992576.387079366,-1.6767980053259814,-1.1884759659937065,78.87668674460154,0.9608,0.9151,1.05,1
Curacao,0.0,27.0,13500000.0,-1.3603656536977107,-1.6396691602319318,77.29026126562701,1.0,1.0,1.0,0
Saudi Arabia,8487150.407349765,38.0,8487150.407349765,-1.7218504566521684,-1.3614949421793148,77.14517614461852,0.9608,0.9151,1.05,1
New Zealand,7016487.815402906,36.0,7016487.815402906,-1.8700550236200708,-1.405504124569517,75.781719562866,0.9608,0.9151,1.05,1
Iraq,0.0,21.0,10500000.0,-1.5560976626647396,-1.8442319665247766,74.28142705318359,1.0,1.0,1.0,0
Qatar,0.0,20.0,10000000.0,-1.5940970601368174,-1.8839457743242707,73.69729220590125,1.0,1.0,1.0,0
Jordan,6545539.09770165,20.0,6545539.09770165,-1.9241675862339496,-1.8839457743242707,71.4693161547456,0.9608,0.9151,1.05,1
